3  listening on:  130.127.134.101:3001
3  sending request vote to the follower  4
3  sending request vote to the follower  1
3  sending request vote to the follower  0
3  sending request vote to the follower  2
Commit quorum changed successfully!, time:  1692654865867865494  commit quorum:  [4]
[4]  Meets Latency req:  true  EWMA:  map[0:Id: 0, EWMA: 55084732.482884 1:Id: 1, EWMA: 54984346.192754 2:Id: 2, EWMA: 54971471.486221 4:Id: 4, EWMA: 427011.108195]
2023-08-21 21:54:38.218194931 +0000 UTC m=+27.533963217 ,  2023-08-21 21:54:38.221089966 +0000 UTC m=+27.536858232 ,  2894944
2023-08-21 21:54:38.250404308 +0000 UTC m=+27.566172594 ,  2023-08-21 21:54:38.252243393 +0000 UTC m=+27.568011649 ,  1838995
2023-08-21 21:54:38.547097703 +0000 UTC m=+27.862865999 ,  2023-08-21 21:54:38.551223116 +0000 UTC m=+27.866991412 ,  4125243
2023-08-21 21:54:38.580618722 +0000 UTC m=+27.896386998 ,  2023-08-21 21:54:38.581606784 +0000 UTC m=+27.897375060 ,  987982
2023-08-21 21:54:38.876462106 +0000 UTC m=+28.192230392 ,  2023-08-21 21:54:38.881808229 +0000 UTC m=+28.197576495 ,  5346033
2023-08-21 21:54:38.91095153 +0000 UTC m=+28.226719816 ,  2023-08-21 21:54:38.913829423 +0000 UTC m=+28.229597679 ,  2877802
2023-08-21 21:54:39.208482304 +0000 UTC m=+28.524250590 ,  2023-08-21 21:54:39.213361326 +0000 UTC m=+28.529129602 ,  4878882
2023-08-21 21:54:39.242555302 +0000 UTC m=+28.558323588 ,  2023-08-21 21:54:39.245339608 +0000 UTC m=+28.561107864 ,  2784206
2023-08-21 21:54:39.540341087 +0000 UTC m=+28.856109373 ,  2023-08-21 21:54:39.544121089 +0000 UTC m=+28.859889355 ,  3779902
2023-08-21 21:54:39.573361402 +0000 UTC m=+28.889129678 ,  2023-08-21 21:54:39.576193308 +0000 UTC m=+28.891961594 ,  2831736
2023-08-21 21:54:39.870784694 +0000 UTC m=+29.186552970 ,  2023-08-21 21:54:39.874770714 +0000 UTC m=+29.190539000 ,  3985579
2023-08-21 21:54:39.904081851 +0000 UTC m=+29.219850127 ,  2023-08-21 21:54:39.905925925 +0000 UTC m=+29.221694201 ,  1843934
2023-08-21 21:54:40.200682762 +0000 UTC m=+29.516451049 ,  2023-08-21 21:54:40.204645419 +0000 UTC m=+29.520413685 ,  3962546
