3  listening on:  130.127.134.101:3001
3  sending request vote to the follower  4
3  sending request vote to the follower  2
3  sending request vote to the follower  0
3  sending request vote to the follower  1
2023-08-22 06:56:15.964223761 +0000 UTC m=+23.369086827 ,  2023-08-22 06:56:16.028970579 +0000 UTC m=+23.433833645 ,  64746758
2023-08-22 06:56:16.058170907 +0000 UTC m=+23.463034003 ,  2023-08-22 06:56:16.114315869 +0000 UTC m=+23.519178965 ,  56144832
2023-08-22 06:56:16.37630439 +0000 UTC m=+23.781167476 ,  2023-08-22 06:56:16.436912186 +0000 UTC m=+23.841775272 ,  60607676
2023-08-22 06:56:16.466373325 +0000 UTC m=+23.871236391 ,  2023-08-22 06:56:16.531974083 +0000 UTC m=+23.936837159 ,  65600668
2023-08-22 06:56:16.794169594 +0000 UTC m=+24.199032680 ,  2023-08-22 06:56:16.85315951 +0000 UTC m=+24.258022586 ,  58989836
2023-08-22 06:56:16.882214222 +0000 UTC m=+24.287077298 ,  2023-08-22 06:56:16.947974542 +0000 UTC m=+24.352837648 ,  65760190
2023-08-22 06:56:17.211263173 +0000 UTC m=+24.616126259 ,  2023-08-22 06:56:17.269634922 +0000 UTC m=+24.674497999 ,  58371649
2023-08-22 06:56:17.298852462 +0000 UTC m=+24.703715538 ,  2023-08-22 06:56:17.364217195 +0000 UTC m=+24.769080292 ,  65364613
2023-08-22 06:56:17.626750223 +0000 UTC m=+25.031613309 ,  2023-08-22 06:56:17.684129171 +0000 UTC m=+25.088992257 ,  57378818
2023-08-22 06:56:17.713275066 +0000 UTC m=+25.118138132 ,  2023-08-22 06:56:17.778615002 +0000 UTC m=+25.183478078 ,  65339876
2023-08-22 06:56:18.041074411 +0000 UTC m=+25.445937477 ,  2023-08-22 06:56:18.100399067 +0000 UTC m=+25.505262163 ,  59324556
2023-08-22 06:56:18.129567254 +0000 UTC m=+25.534430330 ,  2023-08-22 06:56:18.194728263 +0000 UTC m=+25.599591349 ,  65160919
2023-08-22 06:56:18.457370115 +0000 UTC m=+25.862233191 ,  2023-08-22 06:56:18.514705321 +0000 UTC m=+25.919568427 ,  57335066
2023-08-22 06:56:18.543797024 +0000 UTC m=+25.948660130 ,  2023-08-22 06:56:18.609310377 +0000 UTC m=+26.014173453 ,  65513243
