3  listening on:  130.127.134.101:3001
3  sending request vote to the follower  4
3  sending request vote to the follower  1
3  sending request vote to the follower  2
3  sending request vote to the follower  0
2023-08-21 06:38:29.115872746 +0000 UTC m=+21.304371186 ,  2023-08-21 06:38:29.172308611 +0000 UTC m=+21.360807051 ,  56435685
2023-08-21 06:38:29.201722061 +0000 UTC m=+21.390220471 ,  2023-08-21 06:38:29.266389468 +0000 UTC m=+21.454887918 ,  64667286
2023-08-21 06:38:29.56130889 +0000 UTC m=+21.749807310 ,  2023-08-21 06:38:29.625790867 +0000 UTC m=+21.814289307 ,  64481857
2023-08-21 06:38:29.6549722 +0000 UTC m=+21.843470620 ,  2023-08-21 06:38:29.719604761 +0000 UTC m=+21.908103201 ,  64632441
2023-08-21 06:38:30.014404717 +0000 UTC m=+22.202903127 ,  2023-08-21 06:38:30.079956942 +0000 UTC m=+22.268455392 ,  65552094
2023-08-21 06:38:30.109065658 +0000 UTC m=+22.297564068 ,  2023-08-21 06:38:30.173795262 +0000 UTC m=+22.362293692 ,  64729493
2023-08-21 06:38:30.469481367 +0000 UTC m=+22.657979807 ,  2023-08-21 06:38:30.534961326 +0000 UTC m=+22.723459766 ,  65479818
2023-08-21 06:38:30.564162596 +0000 UTC m=+22.752661016 ,  2023-08-21 06:38:30.628830193 +0000 UTC m=+22.817328634 ,  64667477
2023-08-21 06:38:30.923455319 +0000 UTC m=+23.111953739 ,  2023-08-21 06:38:30.988908848 +0000 UTC m=+23.177407288 ,  65453409
2023-08-21 06:38:31.018225436 +0000 UTC m=+23.206723846 ,  2023-08-21 06:38:31.073388071 +0000 UTC m=+23.261886491 ,  55162575
2023-08-21 06:38:31.368252558 +0000 UTC m=+23.556750979 ,  2023-08-21 06:38:31.433705615 +0000 UTC m=+23.622204045 ,  65452826
2023-08-21 06:38:31.46273905 +0000 UTC m=+23.651237460 ,  2023-08-21 06:38:31.528010125 +0000 UTC m=+23.716508545 ,  65270975
2023-08-21 06:38:31.82270435 +0000 UTC m=+24.011202761 ,  2023-08-21 06:38:31.887251992 +0000 UTC m=+24.075750432 ,  64547521
2023-08-21 06:38:31.916360778 +0000 UTC m=+24.104859199 ,  2023-08-21 06:38:31.98078116 +0000 UTC m=+24.169279570 ,  64420311
2023-08-21 06:38:32.275576477 +0000 UTC m=+24.464074917 ,  2023-08-21 06:38:32.331748414 +0000 UTC m=+24.520246854 ,  56171786
2023-08-21 06:38:32.361113242 +0000 UTC m=+24.549611682 ,  2023-08-21 06:38:32.425675831 +0000 UTC m=+24.614174271 ,  64562459
