3  listening on:  130.127.134.101:3001
3  sending request vote to the follower  4
3  sending request vote to the follower  2
3  sending request vote to the follower  0
3  sending request vote to the follower  1
2023-08-21 05:30:41.306397352 +0000 UTC m=+21.577915873 ,  2023-08-21 05:30:41.361995903 +0000 UTC m=+21.633514424 ,  55598381
2023-08-21 05:30:41.39140087 +0000 UTC m=+21.662919422 ,  2023-08-21 05:30:41.446752276 +0000 UTC m=+21.718270787 ,  55351205
2023-08-21 05:30:41.741868521 +0000 UTC m=+22.013387032 ,  2023-08-21 05:30:41.797193566 +0000 UTC m=+22.068712087 ,  55324895
2023-08-21 05:30:41.82688771 +0000 UTC m=+22.098406222 ,  2023-08-21 05:30:41.882079364 +0000 UTC m=+22.153597885 ,  55191523
2023-08-21 05:30:42.176448512 +0000 UTC m=+22.447967033 ,  2023-08-21 05:30:42.231620148 +0000 UTC m=+22.503138669 ,  55171455
2023-08-21 05:30:42.260827815 +0000 UTC m=+22.532346316 ,  2023-08-21 05:30:42.315943736 +0000 UTC m=+22.587462257 ,  55115801
2023-08-21 05:30:42.610544751 +0000 UTC m=+22.882063282 ,  2023-08-21 05:30:42.665849306 +0000 UTC m=+22.937367827 ,  55304404
2023-08-21 05:30:42.695064669 +0000 UTC m=+22.966583180 ,  2023-08-21 05:30:42.750205848 +0000 UTC m=+23.021724369 ,  55141049
2023-08-21 05:30:43.045066401 +0000 UTC m=+23.316584932 ,  2023-08-21 05:30:43.100360919 +0000 UTC m=+23.371879440 ,  55294358
2023-08-21 05:30:43.129370162 +0000 UTC m=+23.400888663 ,  2023-08-21 05:30:43.184499098 +0000 UTC m=+23.456017619 ,  55128796
2023-08-21 05:30:43.479463767 +0000 UTC m=+23.750982278 ,  2023-08-21 05:30:43.534707018 +0000 UTC m=+23.806225539 ,  55243101
2023-08-21 05:30:43.563842239 +0000 UTC m=+23.835360761 ,  2023-08-21 05:30:43.619071974 +0000 UTC m=+23.890590485 ,  55229584
